active,track,name,desc,maxSpeed (m/s),maxAcceleration,maxDeceleration,capacityPerCar,carLength,minCars,maxCars,carsPerCarSet,trainWidth,maxStationLength,carCost,trainOperationalCostPerHour,carOperationalCostPerHour,color,,,,,,,,,id,class,typeName,canCrossRoads,maxSpeedLocalStation,baseTrackCost,baseStationCost,scissorsCrossoverCost,Electrification,Voltage,Track Gauge,Loading Gauge,train CostPerHour,car CostPerHour,desc,,,
TRUE,R211 (NYC),NYC Subway: B Division,The R211 is a subway EMU built by Kawasaki for the NYC Subway's B Division that entered service in 2023.,24.7,1.10,1.30,240,18.35,5,10,5,3.05,227,2700931,500,50,#007EC6,1200,2400,US,NYC,Kawasaki,Standard Heavy Metro,Heavy Metro,North America,nyc-b,Standard Heavy Metro,NYC Subway: B Division,FALSE,13,50000,75000000,15000000,tr-over,Classical DC,Standard,U.S. Passenger Standard,500,50,The New York City Subway B Division are the lines of the subway which originated from the BMT and IND. The main difference is the significantly wider loading gauge.,standard-heavy-metro-tr-over,The New York City Subway B Division are the lines of the subway which originated from the BMT and IND. The main difference is the significantly wider loading gauge. The R211 is a subway EMU built by Kawasaki for the NYC Subway's B Division that entered service in 2023.,186
TRUE,R188 (NYC),NYC Subway: A Division,The R188 is a subway EMU built by Kawasaki for the NYC Subway's A Division that entered service in 2013.,24.7,1.10,1.30,188,15.65,5,10,5,2.62,227,2500000,500,50,#AF378B,940,1880,US,NYC,Kawasaki,Standard Heavy Metro,Heavy Metro,North America,nyc-a,Standard Heavy Metro,NYC Subway: A Division,FALSE,13,50000,75000000,15000000,tr-over,Classical DC,Standard,IRT,500,50,The New York City Subway A Division are the lines of the subway which originated from the IRT. The main difference is the significantly narrower loading gauge.,standard-heavy-metro-tr-over,The New York City Subway A Division are the lines of the subway which originated from the IRT. The main difference is the significantly narrower loading gauge. The R188 is a subway EMU built by Kawasaki for the NYC Subway's A Division that entered service in 2013.,159
TRUE,M9 (LIRR),NYC LIRR Electric,The M9 is a commuter rail EMU built by Kawasaki for the Long Island Railroad that entered service in 2009.,40.0,0.90,1.33,120,25.91,4,14,2,3.25,370,3859000,600,60,#0039A6,480,1680,US,NYC,Kawasaki,Standard Commuter,Commuter,North America,nyc-d,Standard Commuter,NYC LIRR Electric,TRUE,15,45000,75000000,14000000,tr-over,Modern DC,Standard,LIRR / Metro North,600,60,"The Long Island Railroad is a commuter rail network operated by the MTA which primarily serves Nassau and Suffolk Counties. This is the electrified portion of the tracks, which consistitutes most of the parts of the network that matter.",standard-commuter-tr-over,"The Long Island Railroad is a commuter rail network operated by the MTA which primarily serves Nassau and Suffolk Counties. This is the electrified portion of the tracks, which consistitutes most of the parts of the network that matter. The M9 is a commuter rail EMU built by Kawasaki for the Long Island Railroad that entered service in 2009.",365.212
TRUE,DM30-C3 (LIRR),"MTA Commuter Diesel, NYC LIRR Electric","The DM30AC-C3 is a commuter rail Diesel train that entered service in 1993, with coach cars manufacured by Kawasaki powered by an EMD manufactured Diesel locomotive.",42.0,0.82,1.30,150,25.91,4,12,2,3.25,370,2500000,800,80,#03B8A9,600,1800,US,NYC,"EMD,Kawasaki",Diesel Commuter,Commuter,North America,nyc-h,Diesel Commuter,MTA Commuter Diesel,TRUE,15,35000,60000000,13000000,none,None,Standard,LIRR / Metro North,800,80,The Long Island Railroad is a commuter rail network operated by the MTA which primarily serves Nassau and Suffolk Counties. This is the diesel only portion which is mainly found in the lines farthest away from NYC.,diesel-commuter-none,"The Long Island Railroad is a commuter rail network operated by the MTA which primarily serves Nassau and Suffolk Counties. This is the diesel only portion which is mainly found in the lines farthest away from NYC. The DM30AC-C3 is a commuter rail Diesel train that entered service in 1993, with coach cars manufacured by Kawasaki powered by an EMD manufactured Diesel locomotive.",313.396
TRUE,R179 (NYC),NYC Subway: B Division,The R179 is a subway EMU built by Bombardier (now Alstom) for the NYC Subway's B Division that entered service in 2019.,24.7,1.10,1.30,240,18.40,4,8,4,3.02,227,2000000,500,50,#A7752A,960,1920,US,NYC,Bombardier,Standard Heavy Metro,Heavy Metro,North America,nyc-b,Standard Heavy Metro,NYC Subway: B Division,FALSE,13,50000,75000000,15000000,tr-over,Classical DC,Standard,U.S. Passenger Standard,500,50,The New York City Subway B Division are the lines of the subway which originated from the BMT and IND. The main difference is the significantly wider loading gauge.,standard-heavy-metro-tr-over,The New York City Subway B Division are the lines of the subway which originated from the BMT and IND. The main difference is the significantly wider loading gauge. The R179 is a subway EMU built by Bombardier (now Alstom) for the NYC Subway's B Division that entered service in 2019.,149.7
TRUE,NJT LRV-3,LRT: Modern DC,"This is an unnamed articulated low-floor light-rail vehicle built by Kinki-Sharyo for New Jersey Transit, specifically Hudson-Bergen Light Rail and Newark Light Rail. It has been in service since 2000. This is the original, 3 section version.",24.4,1.34,1.34,67,9.14,3,6,3,2.68,60,2000000,200,20,#E06C9E,201,402,US,NYC,Kinki Sharyo,Standard LRT,LRT,North America,lrt-2,Standard LRT,LRT: Modern DC,TRUE,6.7,17500,25000000,6000000,catenary,Modern DC,Standard,Metro Standard,200,20,This is a standard LRT system (2.65m wide) which uses 750V DC.,standard-lrt-catenary,"This is a standard LRT system (2.65m wide) which uses 750V DC. This is an unnamed articulated low-floor light-rail vehicle built by Kinki-Sharyo for New Jersey Transit, specifically Hudson-Bergen Light Rail and Newark Light Rail. It has been in service since 2000. This is the original, 3 section version.",57.36
TRUE,NJT LRV-5,LRT: Modern DC,"This is an unnamed articulated low-floor light-rail vehicle built by Kinki-Sharyo for New Jersey Transit, specifically Hudson-Bergen Light Rail and Newark Light Rail. It has been in service since 2000. This is the 5 section version.",24.4,1.34,1.34,60,7.74,5,5,5,2.68,60,2000000,200,20,#FF7CB5,300,300,US,NYC,Kinki Sharyo,Standard LRT,LRT,North America,lrt-2,Standard LRT,LRT: Modern DC,TRUE,6.7,17500,25000000,6000000,catenary,Modern DC,Standard,Metro Standard,200,20,This is a standard LRT system (2.65m wide) which uses 750V DC.,standard-lrt-catenary,"This is a standard LRT system (2.65m wide) which uses 750V DC. This is an unnamed articulated low-floor light-rail vehicle built by Kinki-Sharyo for New Jersey Transit, specifically Hudson-Bergen Light Rail and Newark Light Rail. It has been in service since 2000. This is the 5 section version.",41.21
TRUE,R142A/PA5,"NYC: PATH, NYC Subway: A Division",The R142A is a subway EMU built by Bombardier (now Alstom) for the NYC Subway's A Division that entered service in 2000. The PA5 is a variant built for the PATH Rapid Transit system. ,24.6,1.12,1.34,220,15.56,5,10,5,2.62,227,2500000,500,50,#0095D3,1100,2200,US,NYC,Bombardier,Standard Heavy Metro,Heavy Metro,North America,nyc-c,Standard Heavy Metro,NYC: PATH,FALSE,13,50000,75000000,15000000,tr-over,Classical DC,Standard,Metro Wide,500,50,"The Port Authority Trans-Hudson is a heavy rail system that operates between New Jersey and NYC, operated independently. This same standard is used by the London Overground Third Rail.",standard-heavy-metro-tr-over,"The Port Authority Trans-Hudson is a heavy rail system that operates between New Jersey and NYC, operated independently. This same standard is used by the London Overground Third Rail. The R142A is a subway EMU built by Bombardier (now Alstom) for the NYC Subway's A Division that entered service in 2000. The PA5 is a variant built for the PATH Rapid Transit system. ",158.1
TRUE,ADtranz M4,SEPTA: L,The AdTranz M4 is an EMU used on the L line of the Philadelphia Subway. Many of these stats are estimates due to lack of data.,24.6,1.21,1.34,110,16.81,2,12,2,1.588,220,2500000,500,50,#1C9AD6,220,1320,US,PHI,ADtranz,Standard Heavy Metro,Heavy Metro,North America,phi-1,Standard Heavy Metro,SEPTA: L,FALSE,13,50000,75000000,15000000,tr-under,Modern DC,PA Trolley Gauge,Metro Wide,500,50,"The L, also known as the Market-Frankford line, is part of Philadelphia's SEPTA Metro. It uses PA trolley gauge and is narrower than the B line.",standard-heavy-metro-tr-under,"The L, also known as the Market-Frankford line, is part of Philadelphia's SEPTA Metro. It uses PA trolley gauge and is narrower than the B line. The AdTranz M4 is an EMU used on the L line of the Philadelphia Subway. Many of these stats are estimates due to lack of data.",204.2776
TRUE,S70 Streetcar,"LRT: Classic DC, LRT: Modern DC, LRT: HV DC",The S700 Streetcar is an articulated low-floor streetcar built by Siemens that have been in service across North America since 2004. This specific model is based on the streetcar model ordered by OC Streetcar. Capacity is artificially higher due to game processing requirements.,20.0,1.34,1.34,67,9.17,3,3,3,2.65,32,2185000,200,20,#01235E,201,201,"US, US, US, US","ATL, LA, SLC, CLT",Siemens,Standard LRT,LRT,"North America, North America, North America, North America",lrt-1,Standard LRT,LRT: Classic DC,TRUE,6.7,17500,25000000,6000000,catenary,Classical DC,Standard,Metro Standard,200,20,This is a standard LRT system (2.65m wide) which uses 600V DC.,standard-lrt-catenary,This is a standard LRT system (2.65m wide) which uses 600V DC. The S700 Streetcar is an articulated low-floor streetcar built by Siemens that have been in service across North America since 2004. This specific model is based on the streetcar model ordered by OC Streetcar. Capacity is artificially higher due to game processing requirements.,30
